time,open,high,low,close,volume,bid,ask,spread,MACD_15_30_9,MACDh_15_30_9,MACDs_15_30_9,EMA_10,EMA_50,EMA_100
2022-07-20 04:45:00,1.02464,1.02478,1.02445,1.02452,108,1.02444,1.0246,-0.00015999999999993797,0.00013041837861726968,2.162532517320493e-05,0.00010879305344406475,1.0245019360469378,1.024156298268438,
2022-07-20 04:50:00,1.02456,1.0247,1.02442,1.02466,144,1.02459,1.02473,-0.000140000000000029,0.00013534996448938408,2.1245528836255458e-05,0.00011410443565312862,1.0245306749474945,1.0241760512775189,
2022-07-20 04:55:00,1.02466,1.02472,1.02428,1.02438,138,1.0243,1.02445,-0.0001500000000000945,0.00012135969030824256,5.804203724091146e-06,0.00011555548658415142,1.0245032795024955,1.0241840492666359,
2022-07-20 05:00:00,1.02437,1.02452,1.02414,1.02449,257,1.02442,1.02456,-0.00013999999999980695,0.000115582492568711,2.1604787647674885e-08,0.00011556088778106333,1.0245008650474963,1.024196047334611,
2022-07-20 05:05:00,1.02449,1.02471,1.02442,1.02443,187,1.02436,1.0245,-0.000140000000000029,0.00010629242754367496,-7.414768189910711e-06,0.00011370719573358567,1.024487980493406,1.02420522194894,
2022-07-20 05:10:00,1.02443,1.02454,1.02424,1.0245,303,1.02442,1.02457,-0.00014999999999987246,0.0001020647337728331,-9.313969568602078e-06,0.00011137870334143517,1.0244901658582413,1.024216781872511,
2022-07-20 05:15:00,1.02445,1.02447,1.02426,1.02434,281,1.02426,1.02442,-0.00016000000000016001,8.810363980882308e-05,-1.8620050826089683e-05,0.00010672369063491276,1.0244628629749246,1.024221613955942,
2022-07-20 05:20:00,1.02433,1.02433,1.02392,1.02406,357,1.02398,1.02415,-0.00017000000000000348,5.9029811767530305e-05,-3.8155103093905974e-05,9.718491486143628e-05,1.024389615161302,1.0242152761537482,
2022-07-20 05:25:00,1.02406,1.02472,1.02399,1.0246,348,1.02452,1.02467,-0.00014999999999987246,6.74167201708542e-05,-2.3814555752465667e-05,9.123127592331987e-05,1.024427866950156,1.0242303633634051,
2022-07-20 05:30:00,1.02458,1.02459,1.02392,1.02394,234,1.02386,1.02401,-0.0001500000000000945,3.381877245112186e-05,-4.593000277775841e-05,7.974877522888027e-05,1.0243391638683095,1.0242189765648402,
2022-07-20 05:35:00,1.02392,1.02393,1.02369,1.02384,210,1.02376,1.02391,-0.0001500000000000945,-3.892597355559246e-09,-6.380213426098866e-05,6.37982416636331e-05,1.024248406801344,1.024204114738768,
2022-07-20 05:40:00,1.02386,1.02388,1.02357,1.02382,276,1.02375,1.0239,-0.0001500000000000945,-2.889902654734655e-05,-7.415781456878372e-05,4.525878802143717e-05,1.024170514655645,1.024189051415679,
2022-07-20 05:45:00,1.02386,1.02388,1.02372,1.02376,238,1.02369,1.02383,-0.000140000000000029,-5.594706742950706e-05,-8.096468436075538e-05,2.5017616931248323e-05,1.024095875627346,1.0241722258699661,
2022-07-20 05:50:00,1.02374,1.02402,1.02365,1.02386,281,1.02379,1.02393,-0.000140000000000029,-7.158762454317902e-05,-7.728419317954188e-05,5.696568636362856e-06,1.0240529891496466,1.0241599817182028,
2022-07-20 05:55:00,1.02384,1.02386,1.02358,1.02381,367,1.02372,1.0239,-0.000180000000000069,-8.683705133760711e-05,-7.402689597917597e-05,-1.2810155358431135e-05,1.0240088093042563,1.02414625694494,
2022-07-20 06:00:00,1.0238,1.02409,1.02366,1.02388,489,1.0238,1.02396,-0.00015999999999993797,-9.438527527549923e-05,-6.526009593365448e-05,-2.9125179341844753e-05,1.0239853894307551,1.0241358154961189,
2022-07-20 06:05:00,1.02388,1.02405,1.0231,1.02321,497,1.02313,1.02329,-0.00015999999999993797,-0.0001403268837787408,-8.896136354951684e-05,-5.1365520229223964e-05,1.023844409534254,1.024099509006075,
2022-07-20 06:10:00,1.02322,1.02337,1.023,1.02313,469,1.02305,1.02321,-0.00015999999999993797,-0.0001816393545794881,-0.0001042190674802113,-7.74202870992768e-05,1.0237145168916624,1.0240614890450523,
2022-07-20 06:15:00,1.02314,1.02364,1.02311,1.0235,396,1.02342,1.02357,-0.0001500000000000945,-0.0001916117451579158,-9.13531664469112e-05,-0.00010025857871100459,1.023675513820451,1.024039469866815,
2022-07-20 06:20:00,1.02352,1.02365,1.02324,1.02352,398,1.02344,1.02361,-0.00017000000000000348,-0.00019701969595264934,-7.74088937933158e-05,-0.00011961080215933355,1.023647238580369,1.024019098499489,
2022-07-20 06:25:00,1.02351,1.02354,1.02295,1.02353,408,1.02345,1.02361,-0.00015999999999993797,-0.00019925265812781312,-6.371348477478365e-05,-0.00013553917335302947,1.0236259224748474,1.0239999181661759,
2022-07-20 06:30:00,1.02352,1.02352,1.02312,1.02313,341,1.02306,1.0232,-0.000140000000000029,-0.0002236671178266203,-7.050235557887264e-05,-0.00015316476224774765,1.0235357547521478,1.0239658037282866,
2022-07-20 06:35:00,1.02313,1.02341,1.02287,1.02325,476,1.02318,1.02332,-0.000140000000000029,-0.00023458970283929403,-6.513995247323708e-05,-0.00016944975036605695,1.0234837993426662,1.023937732993844,
2022-07-20 06:40:00,1.02327,1.02362,1.02302,1.02322,523,1.02314,1.0233,-0.00016000000000016001,-0.00024345303087125458,-5.920262440415808e-05,-0.0001842504064670965,1.0234358358258178,1.0239095866019285,
2022-07-20 06:45:00,1.02324,1.02451,1.02324,1.02451,580,1.02444,1.02458,-0.000140000000000029,-0.00017072056929356982,1.0823869738821356e-05,-0.00018154443903239118,1.0236311384029417,1.0239331322253824,
2022-07-20 06:50:00,1.02452,1.02509,1.02433,1.02441,575,1.02433,1.02449,-0.00015999999999993797,-0.0001158571384918261,5.2549840432452054e-05,-0.00016840697892427816,1.0237727496024067,1.0239518329224262,
2022-07-20 06:55:00,1.02443,1.02503,1.02436,1.02502,542,1.02494,1.0251,-0.00015999999999993797,-3.311927264593173e-05,0.00010823016502267715,-0.00014134943766860888,1.0239995224019691,1.023993721827429,
2022-07-20 07:00:00,1.025,1.02586,1.02456,1.02554,998,1.02547,1.02561,-0.00013999999999980695,6.632437780562661e-05,0.00016613905237938841,-9.981467457376179e-05,1.0242796092379747,1.0240543601871377,
